Azerbaijan;AZE;0;0;0;0;0;0;0;0;0;0;0;0;7.61863709;6.464585857;5.525358563;4.337414444;4.026472755;3.803022741;4.00297561;3.579835395;3.666271029;3.547105484;3.623944346;3.718169927;3.863229639;4.091801927;4.616299863;3.5553401;4.051383481;3.565668218;3.388225879;3.624593021;3.807914534;3.769492421;3.920792371;3.896406086;3.855347182
Burundi;BDI;0.035282532;0.036957755;0.036002497;0.045658809;0.04761201;0.048627431;0.048025444;0.04960198;0.043986706;0.05044046;0.038429978;0.042831657;0.038053034;0.039212129;0.039784593;0.039811807;0.039936892;0.040730269;0.040312586;0.040373064;0.04254013;0.031468942;0.031724704;0.023352787;0.027765918;0.020912001;0.024582112;0.023786811;0.023465617;0.02270678;0.035505087;0.047483001;0.042040072;0.04304943;0.039112493;0.039701654;0.047201096
Belgium;BEL;13.72329627;12.57955507;11.92668478;10.31207942;10.69696639;10.59744025;10.43154171;10.44717278;10.13514385;10.81351494;10.63967167;11.09099988;11.14648251;10.67503455;11.1051094;11.08115205;11.62383425;11.32885202;11.60191455;11.17302675;11.2296677;11.13371551;10.3854951;10.88211417;10.66129022;10.35854254;10.16355441;9.755475498;9.7523272;9.197989292;10.11963524;9.056655467;8.565189829;8.737190336;8.347134375;8.811835806;8.550513254
Benin;BEN;0.139097135;0.112310111;0.125105341;0.112552906;0.120856597;0.173986403;0.155688061;0.118857275;0.118496584;0.130855167;0.142157591;0.159512217;0.168501162;0.205206743;0.221397671;0.224780453;0.207591276;0.193809928;0.187593089;0.234411619;0.232860969;0.256497596;0.285000234;0.313037269;0.323642156;0.299985405;0.471266952;0.531738861;0.507237101;0.521063069;0.553283259;0.534885417;0.493745251;0.503981273;0.522592065;0.573491445;0.595647727
Burkina Faso;BFA;0.06342019;0.079795452;0.080427283;0.08092381;0.061836945;0.061686819;0.060571874;0.063518718;0.066263378;0.095737173;0.066173051;0.069287423;0.067840845;0.0656434;0.065745043;0.062147134;0.068229866;0.075639822;0.078563833;0.08255275;0.089716851;0.083504269;0.081733493;0.085194017;0.084705971;0.083875344;0.098375854;0.111924126;0.121819571;0.125211461;0.134881687;0.136812099;0.162867174;0.171614339;0.168273976;0.183849877;0.183287285
Bangladesh;BGD;0.095911726;0.097003327;0.1024532;0.095609977;0.103187684;0.112760305;0.123010375;0.123994991;0.137961112;0.133612956;0.137265538;0.140256964;0.1431025;0.146247155;0.156291442;0.183461551;0.184269584;0.194915272;0.192103588;0.205333826;0.216415811;0.250764528;0.253743015;0.260732325;0.275079009;0.284106739;0.309163115;0.312205696;0.343895204;0.373296973;0.408083791;0.423609216;0.448127943;0.454664317;0.477335997;0.518850859;0.533298791
Bulgaria;BGR;8.744238667;9.03643153;10.10727531;10.10833662;9.749961471;9.992783476;10.21729994;10.214134;9.718843491;9.771261867;8.54301079;6.666757565;6.347137362;8.00979638;6.414520789;6.900326395;6.763241038;6.209849583;5.934325293;5.356718076;5.328034342;5.800066474;5.695266947;6.084370085;6.064891808;6.256282044;6.445333272;6.925435282;6.772087541;5.731193724;5.964900206;6.71637861;6.140537331;5.450695963;5.859433041;6.232579562;5.851501062
Bahrain;BHR;21.91714367;22.7888779;25.49180205;20.75587079;22.6111781;24.30514892;25.40371182;25.45830132;26.14679986;24.39905256;25.05885496;23.30000981;20.84167995;27.30708305;26.90951321;26.28778759;26.99557258;29.111344;29.9896904;28.30868397;28.31587801;20.21319771;21.61354479;21.57701475;21.63494826;22.35673846;20.33953035;25.91525689;26.70698996;23.81076404;23.58551891;22.57032933;21.19618937;23.88377367;23.47736317;23.97708643;22.22898097
Bahamas;BHS;37.94270885;13.01091368;10.27567398;8.96043255;8.07010173;6.440518719;5.90667191;5.848605054;6.224020109;7.735088367;7.18449944;7.066837032;6.961026805;6.493402049;6.341070742;6.216718299;6.094922846;5.321372643;6.574420933;6.646594936;6.545336201;6.179969466;6.269394786;6.277004046;6.18652593;5.632699109;5.372561044;5.325692302;6.871337083;4.594186565;6.725653769;5.007264091;5.244565217;7.820019718;6.341979802;5.389678412;4.725277895
Bosnia and Herzegovina;BIH;0;0;0;0;0;0;0;0;0;0;0;0;3.555547236;3.089893029;0.820680123;0.895429676;1.130952802;2.246682477;2.836905989;2.772275879;3.67562599;3.558116177;3.804157433;3.851050178;4.14708142;4.303598542;4.664794722;4.691454151;5.368241131;5.541816272;5.741760834;6.5243639;6.174441854;6.187911438;5.578265037;5.414911991;6.451938373
Belarus;BLR;0;0;0;0;0;0;0;0;0;0;0;0;8.556931578;7.497670183;6.361224895;5.961662841;5.921699705;5.886700306;5.770180554;5.596280066;5.389745291;5.314049012;5.311929657;5.464145912;5.977157999;6.122471586;6.462446658;6.330314039;6.623163555;6.439684267;6.64269666;6.762517349;6.653257675;6.661111872;6.628420401;6.141410885;6.133707568
Belize;BLZ;1.322770629;1.242494884;1.137617162;1.106063329;1.074850169;1.156214187;1.211030383;1.304233593;1.392832406;1.638936278;1.66191243;2.129656565;1.830442972;1.911229519;1.854591432;1.824968714;1.441646698;1.754228721;1.608584806;1.457667331;1.601342418;1.753974508;1.649170281;1.606035075;1.419035529;1.485923185;1.523044393;1.594214531;1.422230406;1.864645405;1.671656371;1.821080012;1.410384615;1.484980403;1.400941234;1.605245295;1.542847448
Bermuda;BMU;7.981946223;7.0608901;7.142347022;8.064384051;7.863938465;7.92718549;7.349081594;9.888710263;11.06127136;13.27426454;8.468108418;9.133172938;7.885348579;9.150381939;8.963503034;8.899591604;8.781918874;8.667884358;8.54427908;8.37692747;8.36199117;8.448227313;8.85974059;8.859865772;9.147364292;9.088334321;10.11617563;11.24603933;9.943759288;7.262934975;9.347122413;6.872359209;5.659125282;7.841617821;9.964367957;8.543985775;9.486460947
Bolivia;BOL;0.836585193;0.841265269;0.747988294;0.723163223;0.667484622;0.667594741;0.598657818;0.625506551;0.654790381;0.743099024;0.838648581;0.856676355;0.929434346;1.070587391;1.15655878;1.292196961;1.263301542;1.378568302;1.357332766;1.264809558;1.314642306;1.004764671;1.189084544;1.24555305;1.225562819;1.319869705;1.602553194;1.290181483;1.361717085;1.403395887;1.511526891;1.595994166;1.813416029;1.816390726;1.898829283;1.84670254;1.958514344
Brazil;BRA;1.550121183;1.390352265;1.361098386;1.28724347;1.275133165;1.33986355;1.440047634;1.472977772;1.457685287;1.462631966;1.40189577;1.446313753;1.430744302;1.471087009;1.518847687;1.594541722;1.729996821;1.797434636;1.839317927;1.85802905;1.876441307;1.90429564;1.850682075;1.769005571;1.835946431;1.865977058;1.847654542;1.910334175;2.018593476;1.893620024;2.144736395;2.224711944;2.358548364;2.505408788;2.631289885;2.466788048;2.242393446
Barbados;BRB;2.673312361;2.707202584;2.540093356;2.691370865;2.927893478;3.305498648;3.565636097;3.652517838;3.653166111;3.808668357;4.103550296;4.59241328;3.710437224;4.169035221;2.796351734;3.033370307;3.089601534;3.322610716;4.084489262;4.298150127;4.240789643;4.360029358;4.398924751;4.571569174;4.648955261;4.830535279;4.902954119;4.881438823;5.789738021;5.73979737;5.237995825;5.403566242;5.18317589;5.094918676;4.40310366;4.395403121;4.465128973
Brunei Darussalam;BRN;35.50131267;7.351563086;10.16114818;12.76073672;8.790379283;11.56715334;9.956949527;13.96949441;23.39099606;25.2430903;23.9391584;19.94596747;19.03843121;17.63975916;16.21590995;16.11873557;15.98629121;16.22160675;16.51128957;11.98314583;14.14342743;13.25380109;12.62579373;12.99511737;13.90557072;13.70929354;13.13240048;22.44413479;24.03617354;20.47909645;21.10681443;24.62749182;24.22676314;19.29518002;22.09494374;17.04874345;18.25638399
Bhutan;BTN;0.054075576;0.061392788;0.076941907;0.06669971;0.113711471;0.134274317;0.114906871;0.207714965;0.215900616;0.119382434;0.241793581;0.3498051;0.40476431;0.344257186;0.399863131;0.466417268;0.55533414;0.711188326;0.675732711;0.666287696;0.670087865;0.637855344;0.678613287;0.601588942;0.482186549;0.610470467;0.596840632;0.590138612;0.627898805;0.573033791;0.711464428;1.057842371;1.191699343;1.295927562;1.443226953;1.466042293;1.712274453
Botswana;BWA;1.098628083;1.08385246;1.142515903;1.034430245;1.013239755;1.083387716;0.960532629;1.073200763;1.084760268;1.14917508;2.100304176;1.987883033;2.038486191;2.285470049;2.114703091;2.074143022;1.832610502;1.81871107;2.122257308;1.963003582;2.300613874;2.299158405;2.334035534;2.207306512;2.207851253;2.276743421;2.253041002;2.256363909;2.35260558;1.989774241;2.299366163;2.001436934;2.491951415;2.748646327;3.283177265;2.56084596;2.935373787
Central African Republic;CAF;0.048351881;0.059917189;0.061238804;0.060905603;0.060663368;0.063468636;0.06211041;0.09836522;0.085754757;0.090815789;0.070551039;0.071339711;0.0731111;0.073432718;0.074860248;0.072824403;0.07094059;0.07242259;0.071746964;0.074205442;0.073532858;0.066009622;0.064618813;0.060468193;0.059266517;0.058114364;0.060551681;0.060272129;0.059209298;0.058332152;0.060186452;0.063071953;0.066125464;0.064305245;0.064892841;0.065290207;0.065457798
Canada;CAN;18.07962055;17.32493528;16.51518883;16.11132555;16.62025251;16.33299046;15.51911259;16.31019464;17.02217437;16.98419297;15.71554138;15.22180457;15.54314788;15.5337111;15.75307185;15.95907715;16.1910295;16.56173401;16.79757271;16.95288535;17.41463895;17.01842806;16.56039221;17.47884132;17.32455499;17.41190097;17.56133592;17.38715721;16.89745662;15.82542959;15.5055134;15.22379395;14.91382201;14.7988829;15.25547233;15.38895031;15.09005647
Switzerland;CHE;6.414949786;6.11563526;5.73116759;6.242518469;6.08124526;6.155338532;6.502824669;6.150039281;6.174526108;5.937782989;6.345085168;6.280297083;6.224236273;5.873423831;5.90858368;5.571316975;5.640102519;5.849483122;5.865651918;5.696073665;5.442630894;5.945427667;5.595070279;5.476765434;5.472989901;5.572649341;5.611284653;5.046599596;5.296949596;5.393600403;5.002174211;4.699381907;4.733662496;4.998221364;4.357240126;4.30703579;4.117489823
Channel Islands;CHI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Chile;CHL;2.212528246;2.120031283;1.755452166;1.75005299;1.838033604;1.754334175;1.787562703;1.793339974;2.095843165;2.480093742;2.509652817;2.321075596;2.367010235;2.483157938;2.689741811;2.90282435;3.324776296;3.814010139;3.84848448;4.056171947;3.833506699;3.43772838;3.517039182;3.508135131;3.73249299;3.82001803;3.963081057;4.333797151;4.300340466;3.956216401;4.234476106;4.59822558;4.653625241;4.736431087;4.454138162;4.632585658;4.713171921
China;CHN;1.495250749;1.460431817;1.566739684;1.629055908;1.75044806;1.871054791;1.939434257;2.038410689;2.150905225;2.153077911;2.152000537;2.228662125;2.306095614;2.442800659;2.565993892;2.755754966;2.844309582;2.820567891;2.67674598;2.648649247;2.696862433;2.742120813;3.007083197;3.524074093;4.037990651;4.523178064;4.980314197;5.082123622;5.701915025;5.677170257;6.560520007;7.241515419;7.424750916;7.557211045;7.543907641;7.398524566;7.175809897
Cote d Ivoire;CIV;0.774604196;0.532114656;0.697002814;0.529303064;0.56716656;0.73870954;0.578834418;0.718099242;0.82563083;0.740895091;0.422209051;0.369001603;0.319979027;0.402850348;0.341192447;0.466129996;0.534604712;0.500221834;0.443396718;0.390885668;0.412726893;0.458455888;0.422848418;0.310243409;0.426478538;0.426346238;0.37305611;0.353478286;0.345647505;0.282074856;0.339322893;0.344577055;0.431247827;0.483620536;0.489631014;0.471910597;0.406063977
Cameroon;CMR;0.452983539;0.601091068;0.692051635;0.696833203;0.620822168;0.643039097;0.191895709;0.17188426;0.198656087;0.668197763;0.057899567;0.008459116;0.222669165;0.228330725;0.218119;0.239433741;0.259326068;0.224195366;0.217921459;0.203822084;0.221240439;0.21478626;0.20893307;0.225901762;0.229249619;0.208439099;0.211886527;0.311484739;0.287986298;0.339833528;0.33332691;0.301338806;0.280419195;0.227388469;0.299738143;0.340283663;0.346522621
Congo. Dem. Rep.;COD;0.132857742;0.139680659;0.110867473;0.141754229;0.136128829;0.121860148;0.110067834;0.122238342;0.123876807;0.131274372;0.124062584;0.087926522;0.07572892;0.068964382;0.042634265;0.051155667;0.054631188;0.043089813;0.037201477;0.029067928;0.019305807;0.016279758;0.017573365;0.020821622;0.022457135;0.02737571;0.028452967;0.030049313;0.03077524;0.028009591;0.031294864;0.03735382;0.034852593;0.050309039;0.063330889;0.037225719;0.025644617
Congo. Rep.;COG;0.228938195;0.258404201;0.713993766;0.589609692;0.571076543;0.622974018;0.505167914;0.609668953;0.672115852;0.657229786;0.504132621;0.522277335;0.631796517;0.603079528;0.816329926;0.578314904;0.616034834;0.817225036;0.263379733;0.270339349;0.335345115;0.238166239;0.173912899;0.269084528;0.270548827;0.271271608;0.298636286;0.313142347;0.326342657;0.419298927;0.461621473;0.51231352;0.656941447;0.700438764;0.666519808;0.665272611;0.65889694
Colombia;COL;1.648891984;1.616879726;1.633862165;1.722127877;1.669896523;1.615252167;1.606056545;1.618419013;1.648060005;1.640109186;1.73210762;1.692052373;1.80257635;1.824446632;1.889645979;1.636794764;1.632508097;1.720652793;1.7197408;1.44904892;1.46161956;1.397899531;1.361734525;1.384189812;1.308847503;1.429045311;1.45692304;1.427394293;1.538558334;1.637733487;1.703569329;1.684662686;1.740315447;1.994489337;1.845535015;1.980399139;2.030378008
Comoros;COM;0.154861953;0.150094772;0.145806953;0.141837451;0.137990425;0.134157152;0.120308399;0.126564433;0.132327052;0.128463186;0.151457504;0.155721539;0.151234511;0.155079083;0.150716994;0.154272035;0.157598741;0.160720227;0.170761664;0.173348486;0.189314418;0.184706272;0.180298132;0.226353755;0.239461311;0.227828399;0.257569541;0.160026184;0.161805094;0.196081111;0.233942107;0.192025124;0.19756697;0.237376687;0.202812784;0.21697555;0.253503052
